Full name,Category,Criterion,Ordering,Reference,Type,Theme,List
Buildings by volume,building,volume,more,https://en.wikipedia.org/wiki/List_of_largest_buildings,"Constant, but list is growing",Architecture,"Boeing Everett Factory,Giga Texas,Jean-Luc Lagardere Plant,Aerium,Mayer Werft Dockhalle 2,Boeing Composite Wing Center,Inex Sipoo, NASA Vehicle Assembly Building,The O2,The Palace of Parliament in Bucharest,Tesco Donabate Distribution Centre,Target Import Warehouse,Austal USA,Bielefeld University"
Buildings by floor area,building,floor area,larger,https://en.wikipedia.org/wiki/List_of_largest_buildings,"Constant, but list is growing",Architecture,"Giga Texas,Boeing Everett Factory,The Palace of Parliament in Bucharest,Inex Sipoo,Target Import Warehouse,National Exhibition Centre,Bielefeld University,Jean-Luc Lagardere Plant,Hanover Fairground,Boeing Composite Wing Center,The O2,Tesco Donabate Distribution Centre,Aerium,Austal USA,Meyer Werft Dockhalle 2"
Buildings by height,building,height,taller,https://en.wikipedia.org/wiki/List_of_tallest_buildings,"Constant, but list is growing",Architecture,"Burj Khalifa,Merdeka 118,Shanghai Tower,Abraj Al-Bait Clock Tower,Ping An Internaltional Finance Centre,Lotte World Tower,One World Trade Center,Guangzhou CTF Finance Centre,China Zun,Taipei 101,Shanghai World Financial Center,International Commerce Centre,Wuhan Greenland Center,Central Park Tower,Lakhta Center,Landmark 81,The Exchange 106,Petronas Tower,Zifeng Tower,Wuhan Center,Willis Tower,KK100,Guangzhou International Finance Center,111 West 57th Street,One Vanderbilt,432 Park Avenue,Marina 101,Trump International Hotel and Tower,Jin Mao Tower,Princess Tower,Al Hamra Tower"
Airports by passenger traffic,airport,amount of passenger traffic,more,https://en.wikipedia.org/wiki/List_of_busiest_airports_by_passenger_traffic,Changing,Architecture,"Hartsfield–Jackson Atlanta International Airport,Dallas Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Dubai International Airport,Los Angeles International Airport,Istanbul Airport,Heathrow Airport,Indira Gandhi International Airport,Charles de Gaulle Airport,John F. Kennedy International Airport,Harry Reid International Airport,Amsterdam Airport Schiphol,Miami International Airport,Adolfo Suárez Madrid–Barajas Airport,Tokyo Haneda Airport,Orlando International Airport,Frankfurt Airport,Charlotte Douglas International Airport,Mexico City International Airport,Seattle–Tacoma International Airport,Newark Liberty International Airport,San Francisco International Airport,Josep Tarradellas Barcelona–El Prat Airport"
Museums by visitors,museum,number of visitors,higher,https://en.wikipedia.org/wiki/List_of_most-visited_museums,Changing,Architecture,"Louvre,Vatican Museums,Natural History Museum,British Museum,National Museum of Natural History,Tate Modern,National Museum of Korea,Guangdong Museum,Mevlana Museum,Musee d'Orsay,National Gallery of Art,Metropolitan Museum of Art,Centre Pompidou,State Hermitage Museum,National Gallery,State Russian Museum,National Museum of Marine Science and Technology,Prado Museum,Victoria and Albert Museum,London Science Museum,Chinese Aviation Museum,National Museum of Natural Science,Galleria degli Uffizi,Museum of Modern Art,Topography of Terror"
Tallest church buildings,church building,height,taller,https://en.wikipedia.org/wiki/List_of_tallest_church_buildings,"Constant, but list is growing",Architecture,"Ulm Minster,Our Lady of Peace Basilica,Cologne Cathedral,Rouen Cathedral,St Nicholas Church,Strasbourg Cathedral,Basilica of Our Lady of Lichen,Sagrada Familia,St Peter's Basilica,St Stephen's Cathedral Vienna,People's Salvation Cathedral,New Linz Cathedral,St Peter's Church Hamburg,St Michael's Church Hamburg,St Martin's Church,Basilica of San Gaudenzio,St James' Church Hamburg, St Mary's Church Lubeck,Maringa Cathedral,St.Olaf's Church"
Football stadiums by capacity,football stadium,capacity,larger,https://en.wikipedia.org/wiki/List_of_association_football_stadiums_by_capacity,"Changing, but rarely",Architecture,"Rungrado 1st of May Stadium,Michigan Stadium,Ohio Stadium,Melbourne Cricket Ground,Camp Nou,New Administrative Capital Stadium,FNB Stadium,Rose Bowl Stadium,Sanford Stadium,Cotton Bowl Stadium,Beijing National Stadium,Wembley Stadium,Lusail Stadium,Estadio Azteca,Bukit Jalil National Stadium,Borg el-Arab Stadium,Salk Lake Stadium,Estadio Mas Monumental,Stadium Australia,MetLife Stadium,Croke Park,Jakarta International Stadium, FedEx Field,Lambeau Field,Signal Iduna Park,Stade de France,Estadio Santiago Bernabeu,Luzhniki Stadium,Shah Alam Stadium,Estadio Monumental,Stadio Giuseppe Meazza,Guangdong Olympic Stadium,Hangzhou Olympic Sports Expo Centre,AT&T Stadium,Stade des Martyrs,Moi International Sports Centre"
Tallest statues,statue,height,taller,https://en.wikipedia.org/wiki/List_of_tallest_statues,"Constant, but list is growing",Architecture,"Statue of Unity,Spring Temple Buddha,Laykyun Sekkya,Vishwas Swaroopam,Ushiku Daibutsu,Guishan Guanyin,Statue of Liberty,Great Buddha of Thailand,Sendai Daikannon,Dai Kannon of Kita no Miyako Park,Mother of All Asia - Tower of Peace,The Motherland Calls,Statue of Guatama Buddha,Grand Buddha at Ling Shan,Guanyin of Nanshan,Bronze statue of Dizang at mount Jiuhua"
Architectural Styles,architectural style,time,earlier,https://en.wikipedia.org/wiki/Timeline_of_architectural_styles,Constant,Architecture,"Romanesque,Gothic,Renaissance,High Renaissance,Mannerism,Baroque,Neoclassical,Victorian,Bauhaus,Art Deco,Brutalism,Postmodernism"
Periods in art history,art history period,time,earlier,https://en.wikipedia.org/wiki/Periods_in_Western_art_history,Constant,Art,"Medieval,Renaissance,Mannerism,Baroque,Rococo,Neoclassicism,Romanticism,Impressionism,Post-Impressionism,Neo-Impressionism,Art Nouveau,Fauvism,Expressionism,Cubism,Art Deco,Futurism,Suprematism,De Stijl,Bauhaus,Surrealism,Social Realism,Abstract expressionism,Minimalism,Arte povera"
Plays by Shakespeare by time,play by Shakespeare,time,earlier,https://www.britannica.com/topic/list-of-plays-by-Shakespeare-2069685,Constant,Art,"Comedy of Errors,Richard III,Titus Andronicus,Romeo and Juliet,Midsummer Night's Dream,Merchant of Venice,Much Ado about Nothing,Julius Caesar,Hamlet,Othello,Macbeth,Anthony and Cleopatra,Timon of Athens,Pericles,Cymbeline,Winter's Tale,Tempest,Henry VIII"
Operas by Puccini by premiere date,opera by Puccini,time,earlier,https://en.wikipedia.org/wiki/List_of_compositions_by_Giacomo_Puccini,Constant,Art,"Edgar,Manon Lescaut,La Boheme,Tosca,Madama Butterfly,La fanciulla del West,La rondine,Suor Angelica,Gianni Schicchi,Turandot"
